"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT08","WT13","WT14","WT16","WT17","WT18","WT22"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-02-13","0.45",,"45","40",,,,,,,"    1","    1","    1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-02-14","0.10",,"44","34","    1",,,,,,"    1",,"    1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-02-15","0.00",,"45","33","    1",,,,,,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-02-16","0.07",,"45","38",,"    1",,,,,"    1","    1","    1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-02-17","0.68",,"50","40","    1","    1",,,,,"    1",,"    1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-02-18","0.25",,"44","39","    1",,,,,,"    1",,"    1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-02-19","0.00",,"44","36",,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-02-20","0.12",,"46","35",,,,,,"    1","    1","    1","    1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-02-21","0.03",,"50","46","    1",,,,,,"    1","    1","    1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-02-22","0.34",,"50","37","    1",,,,,,"    1",,"    1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-02-23","0.00",,"47","37",,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-02-24","0.45",,"44","40","    1",,,,,,"    1",,"    1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-02-25","0.00",,"45","37",,,,,,,,,"    1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-02-26","0.05",,"41","30",,,,"    1",,,,"    1","    1",,"    1",
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-02-27","0.00",,"44","28",,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-02-28","0.14",,"44","31","    1",,,,,,,,"    1",,"    1",
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-02-29","0.03",,"41","34","    1",,,,,,,,"    1",,"    1",
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-03-01","0.00",,"43","34",,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-03-02","0.08",,"44","39",,,,,,,,,"    1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-03-03","0.00",,"54","44",,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-03-04","0.00",,"51","44","    1",,,,,,"    1",,"    1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-03-05","0.27",,"46","34","    1",,,,,,"    1",,"    1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-03-06","0.02",,"44","32","    1",,,,,,"    1",,,,"    1",
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-03-07","0.00",,"48","29",,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-03-08","0.00",,"60","33",,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-03-09","0.14",,"49","41","    1","    1",,,,,,"    1","    1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-03-10","0.41",,"45","43",,,,,,,"    1",,"    1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-03-11","0.54",,"44","37","    1",,,,,,"    1",,"    1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-03-12","0.76",,"47","33","    1",,,,,,"    1",,"    1",,"    1",
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-03-13","0.37",,"42","33","    1","    1",,,,,,,"    1",,"    1",
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-03-14","0.34",,"46","34","    1",,,,,,"    1",,"    1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-03-15","0.94",,"52","42",,,,"    1",,,"    1",,"    1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-03-16","0.33",,"48","39","    1",,,,,,"    1","    1","    1",,,
